entry_type,addr,bank,status,canonical_addr,canonical_bank
extra_func,C0A0,15,DISCOVERABLE_AS_SECONDARY,C913,15
extra_func,C559,15,AUTO_DISCOVERED,,
extra_func,C9C1,15,AUTO_DISCOVERED,,
extra_func,CCC4,15,DISCOVERABLE_AS_SECONDARY,C913,15
extra_func,CE9A,15,DISCOVERABLE_AS_SECONDARY,C913,15
extra_func,D8F0,15,AUTO_DISCOVERED,,
extra_func,FF03,15,DISCOVERABLE_AS_SECONDARY,C913,15
extra_func,FF3C,15,DISCOVERABLE_AS_SECONDARY,C913,15
extra_func,FFA5,15,AUTO_DISCOVERED,,
extra_func,D673,15,AUTO_DISCOVERED,,
extra_func,C2E9,15,DISCOVERABLE_AS_SECONDARY,C913,15
extra_func,828E,5,AUTO_DISCOVERED,,
extra_func,8680,5,DISCOVERABLE_AS_SECONDARY,C913,15
extra_func,9D86,5,AUTO_DISCOVERED,,
extra_func,8C0F,14,DISCOVERABLE_AS_SECONDARY,C913,15
